rank,player,team,position,assists,xg_assist,minutes_played,pas_rating
626,Nemanja Gudelj,Serbia,MF,0,0.0,92,60
627,Kwon Kyung-won,Korea Republic,DF,0,0.0,91,60
628,Brennan Johnson,Wales,FW,0,0.0,91,60
629,Victor Nelsson,Denmark,DF,0,0.0,90,60
630,Christopher Wooh,Cameroon,DF,0,0.0,90,60
631,Brandon Aguilera,Costa Rica,MF,0,0.0,90,60
632,Enzo Ebosse,Cameroon,DF,0,0.0,90,60
633,Sadegh Moharrami,IR Iran,DF,0,0.0,90,60
634,Juan Pablo Vargas,Costa Rica,DF,0,0.0,90,60
635,André Onana,Cameroon,GK,0,0.0,80,60
636,Dušan Vlahović,Serbia,FW,0,0.0,79,60
637,Johan Venegas,Costa Rica,FW,0,0.0,73,60
638,Son Jun-ho,Korea Republic,MF,0,0.0,72,60
639,Nicola Zalewski,Poland,MF,0,0.0,65,60
640,Filip Mladenović,Serbia,DF,0,0.0,65,60
641,Simon Kjær,Denmark,DF,0,0.0,64,60
642,Gerson Torres,Costa Rica,MF,0,0.0,64,60
643,Nemanja Radonjić,Serbia,DF,0,0.0,60,60
644,Alireza Jahanbakhsh,IR Iran,MF,0,0.0,59,60
645,Roozbeh Cheshmi,IR Iran,DF,0,0.0,58,60
646,Gaël Ondoua,Cameroon,MF,0,0.0,47,60
647,Youstin Salas,Costa Rica,DF,0,0.0,47,60
648,Carlos Martínez,Costa Rica,DF,0,0.0,45,60
649,Karol Świderski,Poland,FW,0,0.0,45,60
650,Michał Skóraś,Poland,MF,0,0.0,45,60
651,Saman Ghoddos,IR Iran,MF,0,0.0,45,60
652,Hossein Kanaanizadegan,IR Iran,DF,0,0.0,45,60
653,Jeong Woo-yeong,Korea Republic,MF,0,0.0,45,60
654,Thomas Delaney,Denmark,MF,0,0.0,44,60
655,Stefan Mitrović,Serbia,DF,0,0.0,35,60
656,Ivan Ilić,Serbia,MF,0,0.0,34,60
657,Joe Morrell,Wales,MF,0,0.0,33,60
658,Álvaro Zamora,Costa Rica,MF,0,0.0,30,60
659,Bryan Ruiz,Costa Rica,MF,0,0.0,30,60
660,Damian Szymański,Poland,MF,0,0.0,29,60
661,Krzysztof Piątek,Poland,FW,0,0.0,28,60
662,Georges-Kévin N'Koudou,Cameroon,FW,0,0.0,27,60
663,Rónald Matarrita,Costa Rica,DF,0,0.0,26,60
664,Paik Seung-ho,Korea Republic,MF,0,0.0,26,60
665,Olivier Ntcham,Cameroon,MF,0,0.0,25,60
666,Darko Lazović,Serbia,DF,0,0.0,25,60
667,Christian Bassogog,Cameroon,MF,0,0.0,24,60
668,Robert Skov,Denmark,DF,0,0.0,22,60
669,Artur Jędrzejczyk,Poland,DF,0,0.0,19,60
670,Abolfazl Jalali,IR Iran,DF,0,0.0,19,60
671,Filip Đuričić,Serbia,MF,0,0.0,14,60
672,Marko Grujić,Serbia,MF,0,0.0,13,60
673,Srđan Babić,Serbia,DF,0,0.0,13,60
674,Rubin Colwill,Wales,MF,0,0.0,10,60
675,Christian Nørgaard,Denmark,MF,0,0.0,6,60
676,Jan Bednarek,Poland,DF,0,0.0,5,60
677,Cho Yumin,Korea Republic,FW,0,0.0,1,60
678,Roan Wilson,Costa Rica,MF,0,0.0,1,60
679,Sorba Thomas,Wales,MF,0,0.0,1,60
680,Daniel Chacón,Costa Rica,MF,0,0.0,1,60
