rank,player,team,position,total_tackles,tackles_won,tackle_win_rate_pct,tackle_score
2176,Andrea Pinamonti,Genoa,FW,10,6,25.0,5.347068986664031
2177,Harrison Reed,Fulham,MF,6,3,33.3,5.346917783501611
2178,Albert Grønbaek,Southampton,"FW,MF",4,1,30.0,5.346613468962619
2179,Sirlord Conteh,Heidenheim,"FW,MF",9,5,28.6,5.333140407538306
2180,Mathieu Cafaro,Saint-Étienne,"MF,FW",10,7,26.7,5.331544223832343
2181,Fábio Silva,Las Palmas,FW,12,7,28.6,5.329106647175823
2182,Marvin Schulz,Holstein Kiel,"MF,DF",6,5,25.0,5.3259089941969595
2183,Víctor Meseguer,Valladolid,MF,10,6,20.0,5.324178598602466
2184,Jean-Philippe Mateta,Crystal Palace,FW,18,12,18.8,5.3234909851243755
2185,Sekou Mara,Strasbourg,"FW,MF",9,6,33.3,5.320567029074567
2186,Philip Billing,Napoli,MF,9,6,25.0,5.315887999009191
2187,Alan Matturro,Genoa,DF,11,6,21.4,5.313945230600158
2188,Adrien Tameze,Torino,"MF,DF",5,2,10.0,5.304049583368759
2189,Lameck Banda,Lecce,"FW,MF",8,5,25.0,5.298509304518541
2190,Patrik Schick,Leverkusen,FW,6,5,20.0,5.294445664349439
2191,Zito Luvumbo,Cagliari,"FW,MF",10,6,31.6,5.292960153051961
2192,Bobby De Cordova-Reid,Leicester City,FW,9,4,28.6,5.285136241372374
2193,Sergio Herrera,Osasuna,GK,2,1,33.3,5.283957922291034
2194,Yehvann Diouf,Reims,GK,2,1,33.3,5.279633247391793
2195,Anastasios Douvikas,Como,FW,3,2,25.0,5.271984403561664
2196,Jaime Mata,Las Palmas,"FW,MF",8,2,33.3,5.271022444238776
2197,Johan Manzambi,Freiburg,"FW,MF",8,2,25.0,5.255534036619037
2198,Tomás Conechny,Alavés,"FW,MF",15,12,33.3,5.251559562675771
2199,Chuba Akpom,Lille,FW,8,5,33.3,5.249040059478355
2200,Mats Pannewig,Bochum,MF,10,6,25.0,5.2455211378963815
2201,Álvaro djaló,Athletic Club,FW,8,5,33.3,5.243033353317883
2202,Andrea Belotti,Como,FW,7,5,25.0,5.240383905357769
2203,Julian Niehues,Heidenheim,MF,3,1,20.0,5.236344242657068
2204,Mostafa Mohamed,Nantes,FW,18,9,33.3,5.236328418187838
2205,Che Adams,Torino,FW,12,6,14.3,5.235526668345797
2206,Davide Faraoni,Hellas Verona,DF,10,9,33.3,5.228263045288258
2207,Danny Ings,West Ham,"FW,MF",4,2,33.3,5.222049690489463
2208,Vanja Milinković-Savić,Torino,GK,1,0,33.3,5.219918118776668
2209,Salih Özcan,Wolfsburg,MF,2,2,20.0,5.218817275382901
2210,Valentín Castellanos,Lazio,FW,13,6,10.0,5.215438408140066
2211,Nacho Vidal,Osasuna,DF,2,0,25.0,5.213731096310263
2212,Umar Sadiq,Real Sociedad,FW,2,1,50.0,5.1879084479208215
2213,Lorenzo Venturino,Genoa,"FW,MF",5,3,50.0,5.173152903176516
2214,Domen Črnigoj,Venezia,MF,4,2,50.0,5.172269825691136
2215,David Brooks,Bournemouth,"FW,MF",14,6,12.5,5.135222780206187
2216,Mama Samba Baldé,Brest,FW,13,9,21.4,5.124023394799034
2217,Iker Losada,Celta Vigo,"FW,MF",3,3,20.0,5.122867718557811
2218,Dominic Calvert-Lewin,Everton,FW,9,7,33.3,5.11464217159177
2219,Simone Pafundi,Udinese,"MF,DF",3,3,25.0,5.108341118255908
2220,Carlos Martín,Alavés,"FW,MF",43,21,26.5,5.0907679737856135
2221,Carlos Alcaraz,Southampton,MF,0,0,0.0,5.079405167130873
2222,Timo Werner,Tottenham,"FW,MF",6,4,23.1,5.068311839485776
2223,Andy Delort,Montpellier,FW,4,3,50.0,5.060528010288445
2224,Isaac Romero,Sevilla,FW,13,7,18.8,5.059609975653904
2225,Deniz Undav,Stuttgart,"FW,MF",11,10,5.9,5.049819476311987
2226,Álvaro Rodríguez,Getafe,FW,10,7,50.0,5.048829798747569
2227,Tomás Palacios,Inter,DF,0,0,0.0,5.042280275500701
2228,Vitor Roque,Betis,FW,11,6,20.0,5.040762377180914
2229,Mikkel Kaufmann,Heidenheim,FW,6,4,40.0,5.0321206987216875
2230,Kevin Zeroli,Milan,MF,1,1,0.0,5.026519129713108
2231,Óscar Perea,Strasbourg,"MF,DF",0,0,0.0,5.0258790810118095
2232,John Yeboah,Venezia,"FW,MF",6,3,10.0,5.0232604421733615
2233,Joachim Kayi Sanda,Southampton,DF,0,0,0.0,5.016253900171517
2234,Lorenzo Anghelè,Juventus,FW,0,0,0.0,5.015727282206149
2235,Mathis Amougou,Chelsea,MF,0,0,0.0,5.015727282206149
2236,Javi Martínez,Osasuna,MF,0,0,0.0,5.015727282206149
2237,Junior Ajayi,Hellas Verona,FW,0,0,0.0,5.01559478220615
2238,Eros Maddy,Auxerre,DF,0,0,0.0,5.015061692379309
2239,Scott McTominay,Manchester Utd,MF,0,0,0.0,5.0136116923793095
2240,Presnel Kimpembe,Paris S-G,DF,1,0,0.0,5.0136116923793095
2241,Marko Dmitrović,Leganés,GK,1,1,50.0,5.0096440471891865
2242,Junior Ndiaye,Montpellier,FW,3,2,25.0,5.008257005486856
2243,Edhy Zuliani,Toulouse,DF,0,0,0.0,5.002934201863295
2244,Alfie Pond,Wolves,DF,0,0,0.0,5.002059201863295
2245,Oliver Abildgaard,Como,MF,0,0,0.0,5.002059201863295
2246,Lorenzo Aguado,Real Madrid,DF,0,0,0.0,5.002059201863295
2247,Jeremy Sarmiento,Brighton,MF,0,0,0.0,5.002059201863295
2248,Jayden Meghoma,Brentford,DF,0,0,0.0,5.002059201863295
2249,Chiquinho,Wolves,MF,0,0,0.0,5.002059201863295
2250,Dele Alli,Como,MF,0,0,0.0,5.002059201863295
2251,Chema,Real Madrid,MF,0,0,0.0,5.002059201863295
2252,Téo Barisic,Lyon,DF,0,0,0.0,5.002059201863295
2253,Gabriel Vidovic,Mainz 05,MF,0,0,0.0,5.002059201863295
2254,Jonah Kusi-Asare,Bayern Munich,FW,1,0,0.0,5.002059201863295
2255,Jibril Othman,Saint-Étienne,FW,0,0,0.0,5.002059201863295
2256,Sérigné Diop,Brest,FW,1,0,0.0,5.002059201863295
2257,Vitor Reis,Manchester City,DF,0,0,0.0,5.002059201863295
2258,Nunzio Lella,Venezia,MF,0,0,0.0,5.002059201863295
2259,Arijon Ibrahimović,Bayern Munich,FW,0,0,0.0,5.002059201863295
2260,Diego Pugno,Juventus,FW,0,0,0.0,5.002059201863295
2261,Nicola Pintus,Cagliari,DF,0,0,0.0,5.002059201863295
2262,Naatan Skyttä,Toulouse,FW,1,0,0.0,5.002059201863295
2263,Mason Holgate,Everton,"FW,DF",0,0,0.0,5.002059201863295
2264,Jarzinho Malanga,Stuttgart,DF,0,0,0.0,5.002059201863295
2265,Bernard Nguene,Nice,FW,0,0,0.0,5.002059201863295
2266,Will Alves,Leicester City,FW,0,0,0.0,5.002059201863295
2267,Giuseppe Ciocci,Cagliari,GK,0,0,0.0,5.002059201863295
2268,Gianluca Scamacca,Atalanta,FW,0,0,0.0,5.002059201863295
2269,Jayden Danns,Liverpool,MF,0,0,0.0,5.002059201863295
2270,Mohamed Daramy,Reims,FW,0,0,0.0,5.002059201863295
2271,Francesco Caputo,Empoli,FW,0,0,0.0,5.002059201863295
2272,Gabin Capuano,Lens,FW,0,0,0.0,5.002059201863295
2273,Lorenzo Tosto,Empoli,DF,0,0,0.0,5.002059201863295
2274,Ronnie Edwards,Southampton,DF,0,0,0.0,5.002059201863295
2275,Denis Thomalla,Heidenheim,MF,0,0,0.0,5.002059201863295
2276,Warmed Omari,Lyon,DF,0,0,0.0,5.002059201863295
2277,Mathéo Bodmer,Le Havre,MF,0,0,0.0,5.002059201863295
2278,Ike Orazi,Reims,MF,0,0,0.0,5.002059201863295
2279,Dan-Axel Zagadou,Stuttgart,"DF,MF",0,0,0.0,5.001634201863295
2280,Israel Domínguez,Sevilla,FW,0,0,0.0,5.000759201863295
2281,Gabriel Vidovic,Bayern Munich,MF,0,0,0.0,5.000759201863295
2282,Ben Chilwell,Crystal Palace,DF,7,6,20.0,4.999423151999542
2283,Luis Rioja,Alavés,FW,2,1,50.0,4.989621746769017
2284,Axel Camblan,Brest,"MF,FW",1,1,50.0,4.9872529967690165
2285,Jáder Durán,Aston Villa,FW,8,7,25.0,4.981168730255049
2286,Jann-Fiete Arp,Holstein Kiel,"FW,MF",13,10,30.8,4.978902170549548
2287,James Mcatee,Manchester City,"MF,FW",5,2,14.3,4.9689225635299215
2288,Darwin Machís,Valladolid,"MF,FW",5,4,33.3,4.967781154087171
2289,Olivier Deman,Werder Bremen,DF,6,3,28.6,4.967002368858262
2290,James Hill,Bournemouth,DF,15,8,27.3,4.964389578525152
2291,Junior Dina Ebimbe,Eint Frankfurt,"MF,FW",3,2,33.3,4.957237741529005
2292,Myron Boadu,Bochum,FW,2,1,20.0,4.953484372019626
2293,Sergi Dominguez,Barcelona,DF,1,1,0.0,4.917955277803119
2294,Esteban Lepaul,Angers,FW,11,6,25.0,4.917788691651553
2295,Juanmi Latasa,Valladolid,FW,4,2,33.3,4.9105431916238
2296,Jesper Karlsson,Lecce,FW,3,2,25.0,4.907454080360023
2297,Junior Adamu,Freiburg,FW,9,3,27.3,4.88706583465436
2298,Marco Asensio,Paris S-G,"FW,MF",4,3,0.0,4.876177371586059
2299,Dušan Vlahović,Juventus,FW,4,2,20.0,4.8733565161493235
2300,Alexis Sánchez,Udinese,FW,3,1,14.3,4.8693714980523195
2301,Bazoumana Touré,Hoffenheim,"FW,MF",12,10,25.0,4.866172839694147
2302,Yorbe Vertessen,Union Berlin,"MF,FW",6,3,25.0,4.851378096862905
2303,Cristian Gamboa,Bochum,DF,8,3,33.3,4.851291075252
2304,Dean Henderson,Crystal Palace,GK,2,1,33.3,4.8502027515796975
2305,Chuky san jose,Valladolid,MF,8,2,22.2,4.848592856891722
2306,Lovro Majer,Wolfsburg,MF,2,1,20.0,4.821163802364928
2307,Donyell Malen,Aston Villa,FW,7,4,25.0,4.820055768321484
2308,Arnau Tenas,Paris S-G,GK,0,0,0.0,4.810331758234406
2309,Drissa Camara,Parma,"MF,FW",9,7,10.0,4.793461345355061
2310,Miguel,Leganés,FW,16,7,28.6,4.787756801666194
2311,Nicolas Viola,Cagliari,"FW,MF",14,7,10.0,4.781861601373937
2312,Gonzalo García,Real Madrid,"FW,DF",0,0,0.0,4.77583602000983
2313,Fran,Real Madrid,GK,0,0,0.0,4.769277802227231
2314,Jasper Cillessen,Las Palmas,GK,1,0,25.0,4.766856252493515
2315,Alberto Risco,Getafe,"MF,FW",4,4,16.7,4.765716187101007
2316,Oussama El Azzouzi,Bologna,MF,0,0,0.0,4.7637881148882055
2317,Dominik Javorček,Holstein Kiel,"DF,MF",3,0,20.0,4.763115138206499
2318,Rodri,Manchester City,MF,2,1,0.0,4.762786196069067
2319,Tijjani Noslin,Lazio,"FW,MF",6,5,12.5,4.761648563310826
2320,Irvin Cardona,Saint-Étienne,FW,6,5,14.3,4.760347223341694
2321,Unai García,Osasuna,DF,0,0,0.0,4.7592156489513675
2322,Amath,Valladolid,"FW,DF",2,0,12.5,4.757965998595957
2323,Samuel Gigot,Lazio,DF,4,3,0.0,4.754194988249003
2324,Noham Kamara,Paris S-G,DF,1,1,0.0,4.746234873682389
2325,Hamidou Makalou,Brest,"FW,MF",0,0,0.0,4.743982742760338
2326,Issiaga Camara,Nice,MF,2,1,0.0,4.738043174915387
2327,Ben Brereton,Southampton,FW,3,2,11.1,4.7354966605728706
2328,Jan-Niklas Beste,Freiburg,"FW,MF",2,1,14.3,4.715467535520226
2329,Jahmai Simpson-Pusey,Manchester City,DF,1,0,0.0,4.702766109413176
2330,Alfie Dorrington,Tottenham,DF,0,0,0.0,4.7017042611662525
2331,Ramón Sosa,Nott'ham Forest,"FW,MF",5,3,20.0,4.6933393416338
2332,Marc-André ter Stegen,Barcelona,GK,0,0,0.0,4.6898264975577355
2333,Marin Ljubicic,Union Berlin,"FW,MF",2,1,33.3,4.68269322724306
2334,Nicolò Casale,Lazio,DF,5,3,0.0,4.677422461257067
2335,Mario Hermoso,Roma,DF,2,1,0.0,4.672849253764536
2336,Matt Targett,Newcastle Utd,DF,0,0,0.0,4.672212759302639
2337,Gift Orban,Hoffenheim,FW,3,1,16.7,4.664864130616939
2338,Nicolás Serrano,Athletic Club,FW,1,1,33.3,4.661709520013028
2339,Bamo Meïté,Marseille,DF,0,0,0.0,4.659847549011763
2340,Mathis Lambourde,Hellas Verona,"FW,MF",3,1,33.3,4.644462859091476
2341,David Alaba,Real Madrid,DF,1,0,0.0,4.644115518624699
2342,Orel Mangala,Lyon,MF,1,0,0.0,4.644068481894596
2343,Lasso Coulibaly,Auxerre,"FW,MF",1,1,0.0,4.634146653522067
2344,Darryl Bakola,Marseille,"DF,MF",1,1,0.0,4.632682271653935
2345,Giovanni Simeone,Napoli,FW,2,0,16.7,4.629959125253815
2346,Rudy Matondo,Auxerre,MF,1,1,0.0,4.6217004696095465
2347,Bertuğ Yıldırım,Getafe,FW,10,5,28.6,4.615250570778374
2348,Sergiu Perciun,Torino,"FW,MF",2,2,25.0,4.610563499290781
2349,Yannik Lührs,Dortmund,DF,1,1,0.0,4.606793772938162
2350,Florian Micheler,Hoffenheim,MF,0,0,0.0,4.601954030874669
2351,Víctor Muñoz,Real Madrid,"FW,DF",0,0,0.0,4.601954030874669
2352,Alberto Manzoni,Atalanta,MF,0,0,0.0,4.601954030874669
2353,Othmane Maamma,Montpellier,"FW,MF",3,1,25.0,4.592368488926146
2354,Rubén Peña,Osasuna,"FW,DF",12,5,20.8,4.591970935445019
2355,Ibrahim Salah,Brest,FW,4,2,16.7,4.582451073462928
2356,Mamadou Sylla,Valladolid,"FW,MF",8,4,22.2,4.569106837017987
2357,Gabriel Osei Misehouy,Girona,"FW,MF",1,1,0.0,4.564843080951275
2358,Jason Steele,Brighton,GK,0,0,0.0,4.556689746790112
2359,Mario Hermoso,Leverkusen,DF,0,0,0.0,4.555978419811127
2360,Jørgen Strand Larsen,Wolves,FW,10,6,14.8,4.549305421066326
2361,Ante Budimir,Osasuna,FW,20,9,23.1,4.547349182189126
2362,Zakaria Aboukhlal,Toulouse,"MF,FW",22,13,17.4,4.538856977058104
2363,Jota Silva,Nott'ham Forest,"FW,MF",27,14,22.2,4.527121392586743
2364,Valentin Carboni,Marseille,"MF,FW",2,2,0.0,4.5120300076275575
2365,Michael Gregoritsch,Freiburg,FW,4,2,20.0,4.5090253339787845
2366,Jesús Vallejo,Real Madrid,DF,0,0,0.0,4.5020726596993415
2367,Iñaki Peña,Barcelona,GK,0,0,0.0,4.499682855883947
2368,Adrian Baquerin,Valladolid,FW,1,1,0.0,4.4974107152029
2369,Kim Minsu,Girona,"MF,FW",1,0,0.0,4.496827760657446
2370,Oliver Nielsen,Lazio,DF,0,0,0.0,4.496341093990779
2371,Rémy Descamps,Lyon,GK,0,0,0.0,4.496341093990779
2372,Kim Jisoo,Brentford,DF,0,0,0.0,4.494420917836361
2373,Lukas Daschner,Bochum,"MF,FW",4,2,22.2,4.492814090483717
2374,Liam Delap,Ipswich Town,FW,11,8,13.3,4.492198018015809
2375,Siebe Van Der Heyden,Mallorca,"DF,MF",1,1,0.0,4.4867660597311945
2376,Álvaro Pascual,Sevilla,FW,5,3,20.0,4.463034758223473
2377,Daniele Baselli,Como,MF,0,0,0.0,4.4616491060880925
2378,Aristide Zossou,Auxerre,MF,0,0,0.0,4.458997859001844
2379,José Carlos González,Las Palmas,DF,0,0,0.0,4.457634491650242
2380,Emmanuel Koum Mbondo,Marseille,DF,0,0,0.0,4.457634491650242
2381,Tim Breithaupt,Augsburg,MF,1,1,0.0,4.4407713557186135
2382,Wojciech Szczęsny,Barcelona,GK,1,1,0.0,4.4379273860443575
2383,Ederson,Manchester City,GK,0,0,0.0,4.434944575836098
2384,Sergio Viera,Las Palmas,MF,1,1,0.0,4.433928408451352
2385,Enzo Ebosse,Udinese,DF,0,0,0.0,4.430334793097794
2386,Victor Orakpo,Nice,FW,0,0,0.0,4.430024422527144
2387,Federico Chiesa,Liverpool,FW,1,0,0.0,4.4298442644552205
2388,George Hirst,Ipswich Town,FW,3,3,25.0,4.429115797601115
2389,Yann Sommer,Inter,GK,0,0,0.0,4.426325360915668
2390,Guglielmo Vicario,Tottenham,GK,0,0,0.0,4.426325360915668
2391,Bilal Brahimi,Nice,MF,0,0,0.0,4.425204511664907
2392,Thiago Ojeda,Villarreal,MF,0,0,0.0,4.423350007002902
2393,Tiago Gabriel,Lecce,DF,0,0,0.0,4.422376222984633
2394,Alberto Paleari,Torino,GK,0,0,0.0,4.422376222984633
2395,Enzo Sternal,Marseille,"FW,MF",0,0,0.0,4.4219866396513
2396,Estanis,Bologna,FW,0,0,0.0,4.4219866396513
2397,Luka Jović,Milan,"FW,MF",0,0,0.0,4.416659905575292
2398,Nobel Mendy,Betis,DF,0,0,0.0,4.4057646762983005
2399,Luis Guilherme,West Ham,"MF,FW",1,0,0.0,4.405036231753915
2400,Robin Hranáč,Hoffenheim,DF,0,0,0.0,4.402670780040853
2401,Daniel Mosquera,Hellas Verona,FW,11,8,6.7,4.402504909760995
2402,Lewis Orford,West Ham,MF,0,0,0.0,4.400975469824949
2403,Mike Maignan,Milan,GK,0,0,0.0,4.389376756677831
2404,Cole Campbell,Dortmund,"MF,FW",0,0,0.0,4.388684147402137
2405,Oscar Bobb,Manchester City,FW,0,0,0.0,4.388684147402137
2406,Joshua King,Fulham,MF,7,5,0.0,4.368037838431331
2407,Mathys Tel,Bayern Munich,"FW,MF",2,2,0.0,4.356981815704057
2408,Mateo Pellegrino,Parma,FW,3,2,25.0,4.349200516328419
2409,Andriy Lunin,Real Madrid,GK,1,0,0.0,4.347561922409823
2410,Eliot Matazo,Monaco,MF,3,2,0.0,4.345939660674911
2411,Nicolò Zaniolo,Atalanta,"FW,MF",0,0,0.0,4.344989485403923
2412,Alejo Véliz,Espanyol,FW,1,1,14.3,4.323024206533114
2413,Alex Meret,Napoli,GK,0,0,0.0,4.320668949265422
2414,Pelayo Fernandez,Rayo Vallecano,DF,0,0,0.0,4.314774426852352
2415,David Akpan Ankeye,Genoa,"FW,MF",0,0,0.0,4.31474585542378
2416,Josep Martinez,Inter,GK,0,0,0.0,4.31474585542378
2417,Javi Martón,Athletic Club,"FW,MF",0,0,0.0,4.31474585542378
2418,Andrea Mazza,Monza,GK,0,0,0.0,4.31474585542378
2419,Frank Onyeka,Brentford,MF,0,0,0.0,4.31474585542378
2420,Joseph Aidoo,Celta Vigo,DF,1,0,0.0,4.31474585542378
2421,Malcolm Jeng,Reims,DF,0,0,0.0,4.3143931484681
2422,Diego,Leganés,FW,1,1,14.3,4.307073785962153
2423,Norman Theuerkauf,Heidenheim,MF,0,0,0.0,4.28950715539395
2424,Antonín Barák,Fiorentina,MF,2,0,0.0,4.28950715539395
2425,Juan Musso,Atlético Madrid,GK,0,0,0.0,4.288186700848495
2426,Fraser Forster,Tottenham,GK,0,0,0.0,4.286780903568563
2427,Niklas Dorsch,Augsburg,MF,0,0,0.0,4.284041446629315
2428,Mohamed Simakan,RB Leipzig,DF,0,0,0.0,4.27939257978178
2429,Grischa Prömel,Hoffenheim,MF,0,0,0.0,4.26552117166408
2430,Moritz Nicolas,Gladbach,GK,0,0,0.0,4.255437297800845
2431,Mohamed Bamba,Reims,MF,0,0,0.0,4.247469258644749
2432,Aurele Amenda,Eint Frankfurt,DF,1,0,0.0,4.24449089769175
2433,Gauthier Gallon,Rennes,GK,0,0,0.0,4.242674197826986
2434,Rui Patrício,Atalanta,GK,0,0,0.0,4.242674197826986
2435,Pau Victor,Barcelona,FW,3,1,0.0,4.221737210169869
2436,Musa Al-Taamari,Rennes,"FW,MF",4,1,0.0,4.206689832965832
2437,Emi Buendía,Aston Villa,"MF,FW",6,6,0.0,4.20597508078592
2438,Nasser Djiga,Wolves,DF,0,0,0.0,4.1978570204726235
2439,Ali Al Hamadi,Ipswich Town,FW,1,0,0.0,4.194457828450487
2440,Javier Llabrés,Mallorca,FW,0,0,0.0,4.193491834860744
2441,Anass Salah-Eddine,Roma,DF,1,1,0.0,4.1929878070428
2442,Orri Steinn Óskarsson,Real Sociedad,FW,6,6,25.0,4.192356506604946
2443,Raúl de Tomás,Rayo Vallecano,"DF,FW",2,2,0.0,4.189718833317771
2444,Sven Ulreich,Bayern Munich,GK,0,0,0.0,4.188752839728028
2445,Filip Jørgensen,Chelsea,GK,0,0,0.0,4.188752839728028
2446,Marco Sportiello,Milan,GK,0,0,0.0,4.188752839728028
2447,Federico Cassa,Atalanta,"MF,FW",0,0,0.0,4.188752839728028
2448,Maat Daniel Caprini,Fiorentina,FW,0,0,0.0,4.188752839728028
2449,Matej Kovar,Leverkusen,GK,0,0,0.0,4.188752839728028
2450,Eiran Cashin,Brighton,DF,0,0,0.0,4.179503440845119
2451,Nehuén Pérez,Udinese,DF,1,1,0.0,4.1675821389694825
2452,Jakub Moder,Brighton,MF,1,0,0.0,4.1675821389694825
2453,Thibaut Courtois,Real Madrid,GK,0,0,0.0,4.164037811232293
2454,Karl-Johan Johnsson,Strasbourg,GK,0,0,0.0,4.161889164654823
2455,Elia Caprile,Napoli,GK,0,0,0.0,4.1613831577898335
2456,Hianga Mananga Mbock,Brest,MF,0,0,0.0,4.1613831577898335
2457,Alisson,Liverpool,GK,1,0,0.0,4.160930326099465
2458,Pierluigi Gollini,Genoa,GK,0,0,0.0,4.16049300898031
2459,Emil Audero,Como,GK,0,0,0.0,4.1599643325097215
2460,Vicente Guaita,Celta Vigo,GK,0,0,0.0,4.1599643325097215
2461,Justin-Noël Kalumba,Angers,"FW,MF",0,0,0.0,4.159949645885072
2462,Nicola Sansone,Lecce,"MF,FW",0,0,0.0,4.159949645885072
2463,Iker Córdoba,Valencia,DF,0,0,0.0,4.159949645885072
2464,Jesús Navas,Sevilla,"FW,MF",5,2,0.0,4.1579640219737115
2465,James Rodríguez,Rayo Vallecano,"MF,FW",3,2,0.0,4.14461010570562
2466,Fabio González,Las Palmas,MF,0,0,0.0,4.141908987523616
2467,Koka,Le Havre,FW,4,1,0.0,4.137859085083997
2468,Jonas Urbig,Bayern Munich,GK,0,0,0.0,4.127040629155798
2469,Jordan Lotomba,Nice,"MF,DF",0,0,0.0,4.123402798418756
2470,Iván Villar,Celta Vigo,GK,0,0,0.0,4.122533232218595
2471,Stefan Ortega,Manchester City,GK,0,0,0.0,4.1219908065523825
2472,Brice Samba,Lens,GK,0,0,0.0,4.121114406938483
2473,Jonas Rouhi,Juventus,DF,4,1,0.0,4.093350488313421
2474,Marcin Bułka,Nice,GK,0,0,0.0,4.084036930288998
2475,Tidiam Gomis,RB Leipzig,"MF,FW",0,0,0.0,4.075563712783341
2476,Caleb Wiley,Strasbourg,"DF,MF",1,0,0.0,4.031728384265825
2477,Unai Marrero,Real Sociedad,GK,0,0,0.0,4.026314051644295
2478,Elye Wahi,Marseille,FW,0,0,0.0,4.024294102110039
2479,Daniel Fila,Venezia,FW,2,0,0.0,4.015643281263255
2480,Bamba Dieng,Angers,FW,4,1,0.0,4.013791766632253
2481,Luis Sinisterra,Bournemouth,"FW,MF",7,2,0.0,4.011165292900278
2482,Marc Cardona,Las Palmas,"FW,DF",4,2,0.0,4.006768502289972
2483,Endika Buján,Athletic Club,FW,0,0,0.0,4.002228591603644
2484,Alessio Cacciamani,Torino,"MF,DF",0,0,0.0,4.002228591603644
2485,Mattia Perin,Juventus,GK,0,0,0.0,4.002228591603644
2486,Mateus Mane,Wolves,MF,0,0,0.0,4.002228591603644
2487,Faride Alidou,Hellas Verona,"FW,MF",0,0,0.0,4.002228591603644
2488,Daniel Requena,Villarreal,MF,0,0,0.0,4.002228591603644
2489,John Joe,Getafe,"MF,FW",0,0,0.0,4.002228591603644
2490,Ben Godfrey,Atalanta,DF,0,0,0.0,4.002228591603644
2491,Igor Miladinović,Saint-Étienne,"FW,MF",0,0,0.0,4.002228591603644
2492,Matvei Safonov,Paris S-G,GK,0,0,0.0,4.002228591603644
2493,Filip Marchwiński,Lecce,MF,0,0,0.0,4.002228591603644
2494,Nikolas Nartey,Stuttgart,MF,0,0,0.0,4.002228591603644
2495,Sékou Doucoure,Nantes,DF,0,0,0.0,4.002228591603644
2496,Jordan Ayew,Crystal Palace,"FW,MF",1,0,0.0,4.002228591603644
2497,Luca de la Torre,Celta Vigo,MF,0,0,0.0,4.002228591603644
2498,Đorđe Petrović,Strasbourg,GK,1,1,0.0,4.001798122853645
2499,Jan Oblak,Atlético Madrid,GK,0,0,0.0,4.001798122853645
2500,Gregor Kobel,Dortmund,GK,0,0,0.0,4.001798122853645
2501,Martin Dúbravka,Newcastle Utd,GK,0,0,0.0,4.001775493131658
2502,Grégoire Coudert,Brest,GK,0,0,0.0,4.000164150296398
2503,Simone Scuffet,Napoli,GK,0,0,0.0,4.000164150296398
2504,Mile Svilar,Roma,GK,0,0,0.0,3.9986662346017514
2505,Jeffrey Schlupp,Crystal Palace,"MF,DF",2,0,0.0,3.995405373648339
2506,Michael Zetterer,Werder Bremen,GK,0,0,0.0,3.992889215916267
2507,Saad El Haddad,Venezia,MF,0,0,0.0,3.9891208923496206
2508,Jérémy Le Douaron,Brest,FW,1,0,0.0,3.9891208923496206
2509,Rui Silva,Betis,GK,0,0,0.0,3.9891208923496206
2510,Pietro Terracciano,Fiorentina,GK,0,0,0.0,3.9891208923496206
2511,Henrik Meister,Rennes,FW,2,0,0.0,3.9891208923496206
2512,Federico Ravaglia,Bologna,GK,0,0,0.0,3.9887711006829547
2513,Arthur Desmas,Le Havre,GK,0,0,0.0,3.9886904235996212
2514,Jean Butez,Como,GK,0,0,0.0,3.988340631932955
2515,Sebastian Walukiewicz,Empoli,DF,1,0,0.0,3.9873631765681536
2516,Maduka Okoye,Udinese,GK,0,0,0.0,3.975250327429847
2517,Ivan Provedel,Lazio,GK,0,0,0.0,3.9517156029203027
2518,Danny Ward,Leicester City,GK,0,0,0.0,3.94158318947641
2519,Rasmus Højlund,Manchester Utd,FW,3,1,0.0,3.9377371216386985
2520,Artem Dovbyk,Roma,FW,4,2,0.0,3.9316362262117974
2521,Amine Salama,Reims,FW,3,2,0.0,3.914156194757004
2522,David Raya,Arsenal,GK,0,0,0.0,3.912107207225029
2523,Lorenzo Montipò,Hellas Verona,GK,1,0,25.0,3.910208928766266
2524,Samuel Bamba,Bochum,"FW,MF",1,1,0.0,3.9031170945123006
2525,Ethan Mbappé,Lille,"MF,FW",6,2,0.0,3.898217225249716
2526,Maxwel Cornet,Southampton,FW,5,5,0.0,3.8889110569824648
2527,Naouirou Ahamada,Rennes,"MF,FW",0,0,0.0,3.8885889488144136
2528,Noah Okafor,Milan,FW,2,1,0.0,3.8731341542390556
2529,Roberto Férnandez,Espanyol,FW,4,4,0.0,3.8651966884270554
2530,Igor Matanovic,Eint Frankfurt,FW,2,0,0.0,3.8407238789900697
2531,Erik Ahlstrand,St. Pauli,"FW,MF",0,0,0.0,3.828267278669122
2532,Alexander Nübel,Stuttgart,GK,0,0,0.0,3.826846221186766
2533,Thomas Dähne,Holstein Kiel,GK,0,0,0.0,3.826846221186766
2534,Bart Verbruggen,Brighton,GK,0,0,0.0,3.826846221186766
2535,Donyell Malen,Dortmund,"FW,MF",0,0,0.0,3.8251304958144385
2536,Lucas Perri,Lyon,GK,1,1,0.0,3.8208511579723994
2537,Arnaut Danjuma,Villarreal,FW,2,1,0.0,3.8192727698750075
2538,Arnau Rafús,Valladolid,GK,0,0,0.0,3.8181696448750073
2539,Daniel Peretz,Bayern Munich,GK,0,0,0.0,3.8181696448750073
2540,Dani Gómez,Valencia,FW,3,2,0.0,3.810901177830229
