league_,season_,team_,player_,nation_,pos_,age_,born_,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK
ENG-Premier League,2425,Arsenal,Raheem Sterling,ENG,"FW,MF",29,1994,17,7,499,5.5,0,2,2,0,0,0,1,0,0.0,0.36,0.36,0.0,0.36
ENG-Premier League,2425,Arsenal,Reiss Nelson,ENG,"FW,MF",24,1999,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Arsenal,Riccardo Calafiori,ITA,DF,22,2002,19,11,983,10.9,2,1,3,2,0,0,4,0,0.18,0.09,0.27,0.18,0.27
ENG-Premier League,2425,Arsenal,Takehiro Tomiyasu,JPN,DF,25,1998,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Arsenal,Thomas Partey,GHA,"MF,DF",31,1993,35,31,2797,31.1,4,2,6,4,0,0,4,0,0.13,0.06,0.19,0.13,0.19
ENG-Premier League,2425,Arsenal,William Saliba,FRA,DF,23,2001,35,35,3039,33.8,2,0,2,2,0,0,2,1,0.06,0.0,0.06,0.06,0.06
ENG-Premier League,2425,Aston Villa,Amadou Onana,BEL,MF,22,2001,26,20,1617,18.0,3,0,3,3,0,0,4,0,0.17,0.0,0.17,0.17,0.17
ENG-Premier League,2425,Aston Villa,Andrés García,ESP,"DF,MF",21,2003,7,5,318,3.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Aston Villa,Axel Disasi,FRA,DF,26,1998,7,5,490,5.4,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Aston Villa,Boubacar Kamara,FRA,"MF,DF",24,1999,26,20,1726,19.2,1,0,1,1,0,0,2,0,0.05,0.0,0.05,0.05,0.05
ENG-Premier League,2425,Aston Villa,Diego Carlos,BRA,DF,31,1993,10,8,830,9.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Aston Villa,Donyell Malen,NED,MF,25,1999,14,2,305,3.4,3,0,3,3,0,0,0,0,0.89,0.0,0.89,0.89,0.89
ENG-Premier League,2425,Aston Villa,Emi Buendía,ARG,"FW,MF",27,1996,12,0,98,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Aston Villa,Emiliano Martínez,ARG,GK,31,1992,37,37,3194,35.5,0,0,0,0,0,0,5,1,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Aston Villa,Ezri Konsa,ENG,DF,26,1997,34,33,2936,32.6,2,0,2,2,0,0,1,0,0.06,0.0,0.06,0.06,0.06
ENG-Premier League,2425,Aston Villa,Ian Maatsen,NED,DF,22,2002,29,10,1139,12.7,1,2,3,1,0,0,2,0,0.08,0.16,0.24,0.08,0.24
ENG-Premier League,2425,Aston Villa,Jacob Ramsey,ENG,MF,23,2001,29,19,1623,18.0,1,3,4,1,0,0,4,1,0.06,0.17,0.22,0.06,0.22
ENG-Premier League,2425,Aston Villa,Jaden Philogene Bidace,ENG,MF,22,2002,11,2,332,3.7,0,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Aston Villa,John McGinn,SCO,MF,29,1994,34,27,2223,24.7,1,4,5,1,0,0,7,0,0.04,0.16,0.2,0.04,0.2
ENG-Premier League,2425,Aston Villa,Jáder Durán,COL,FW,20,2003,20,4,638,7.1,7,0,7,7,0,0,3,1,0.99,0.0,0.99,0.99,0.99
ENG-Premier League,2425,Aston Villa,Kosta Nedeljković,SRB,DF,18,2005,5,0,126,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Aston Villa,Lamare Bogarde,NED,"DF,MF",20,2004,8,5,476,5.3,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Aston Villa,Leon Bailey,JAM,MF,26,1997,24,14,1139,12.7,1,2,3,1,0,0,3,0,0.08,0.16,0.24,0.08,0.24
ENG-Premier League,2425,Aston Villa,Lucas Digne,FRA,DF,31,1993,32,28,2351,26.1,0,4,4,0,0,0,4,0,0.0,0.15,0.15,0.0,0.15
ENG-Premier League,2425,Aston Villa,Marco Asensio,ESP,MF,28,1996,13,9,743,8.3,3,1,4,3,0,2,2,0,0.36,0.12,0.48,0.36,0.48
ENG-Premier League,2425,Aston Villa,Marcus Rashford,ENG,"FW,MF",26,1997,10,4,444,4.9,2,2,4,1,1,1,0,0,0.41,0.41,0.81,0.2,0.61
ENG-Premier League,2425,Aston Villa,Matty Cash,POL,DF,26,1997,27,24,2070,23.0,1,1,2,1,0,0,7,0,0.04,0.04,0.09,0.04,0.09
ENG-Premier League,2425,Aston Villa,Morgan Rogers,ENG,MF,22,2002,37,37,3114,34.6,8,10,18,8,0,0,10,0,0.23,0.29,0.52,0.23,0.52
ENG-Premier League,2425,Aston Villa,Ollie Watkins,ENG,FW,28,1995,38,31,2598,28.9,16,8,24,14,2,2,2,0,0.55,0.28,0.83,0.48,0.76
ENG-Premier League,2425,Aston Villa,Pau Torres,ESP,DF,27,1997,24,23,2020,22.4,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Aston Villa,Robin Olsen,SWE,GK,34,1990,4,1,226,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Aston Villa,Ross Barkley,ENG,MF,30,1993,20,3,581,6.5,3,1,4,3,0,0,3,0,0.46,0.15,0.62,0.46,0.62
ENG-Premier League,2425,Aston Villa,Tyrone Mings,ENG,DF,31,1993,14,12,1120,12.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Aston Villa,Youri Tielemans,BEL,MF,27,1997,36,35,3026,33.6,3,7,10,3,0,1,4,0,0.09,0.21,0.3,0.09,0.3
